	strain	accession_version	strain_name	date	region	country	division	location	length	host_scientific	date_released	date_updated	sra_accessions	authors	abbr_authors	institution	host
947	MF598637	MF598637.1	MF598637	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
948	MF598638	MF598638.1	MF598638	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
949	MF598639	MF598639.1	MF598639	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
950	MF598640	MF598640.1	MF598640	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
951	MF598641	MF598641.1	MF598641	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
952	MF598642	MF598642.1	MF598642	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
953	MF598643	MF598643.1	MF598643	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
954	MF598644	MF598644.1	MF598644	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
955	MF598645	MF598645.1	MF598645	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
956	MF598646	MF598646.1	MF598646	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
957	MF598647	MF598647.1	MF598647	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
958	MF598648	MF598648.1	MF598648	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
959	MF598649	MF598649.1	MF598649	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
960	MF598650	MF598650.1	MF598650	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
961	MF598651	MF598651.1	MF598651	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
962	MF598652	MF598652.1	MF598652	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
963	MF598653	MF598653.1	MF598653	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
964	MF598654	MF598654.1	MF598654	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
965	MF598655	MF598655.1	MF598655	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
966	MF598656	MF598656.1	MF598656	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
967	MF598657	MF598657.1	MF598657	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
968	MF598658	MF598658.1	MF598658	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
969	MF598659	MF598659.1	MF598659	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
970	MF598660	MF598660.1	MF598660	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
971	MF598661	MF598661.1	MF598661	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
972	MF598662	MF598662.1	MF598662	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
973	MF598663	MF598663.1	MF598663	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
974	MF598664	MF598664.1	MF598664	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
975	MF598665	MF598665.1	MF598665	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
976	MF598666	MF598666.1	MF598666	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
977	MF598667	MF598667.1	MF598667	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
978	MF598668	MF598668.1	MF598668	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
979	MF598669	MF598669.1	MF598669	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
980	MF598670	MF598670.1	MF598670	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
981	MF598671	MF598671.1	MF598671	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
982	MF598672	MF598672.1	MF598672	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
983	MF598673	MF598673.1	MF598673	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
984	MF598674	MF598674.1	MF598674	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
985	MF598675	MF598675.1	MF598675	2015-03-XX	Asia	United Arab Emirates			30123	Camelus dromedarius	2017-11-15	2017-11-15		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Yusof et al	Centers for Disease Control and Prevention, Division of Viral Diseases	Camel
