accession	accession_version	length	database	sra_accessions	strain	region	location	date	date_released	date_updated	host	sample_type	biosample_accessions	authors	institution	submitter_country	country	division	abbr_authors
MF598640	MF598640.1	30123	GenBank		MF598640	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598641	MF598641.1	30123	GenBank		MF598641	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598642	MF598642.1	30123	GenBank		MF598642	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598643	MF598643.1	30123	GenBank		MF598643	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598644	MF598644.1	30123	GenBank		MF598644	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598645	MF598645.1	30123	GenBank		MF598645	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598646	MF598646.1	30123	GenBank		MF598646	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598647	MF598647.1	30123	GenBank		MF598647	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598648	MF598648.1	30123	GenBank		MF598648	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598649	MF598649.1	30123	GenBank		MF598649	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598650	MF598650.1	30123	GenBank		MF598650	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598651	MF598651.1	30123	GenBank		MF598651	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598652	MF598652.1	30123	GenBank		MF598652	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598653	MF598653.1	30123	GenBank		MF598653	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598654	MF598654.1	30123	GenBank		MF598654	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598655	MF598655.1	30123	GenBank		MF598655	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598656	MF598656.1	30123	GenBank		MF598656	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598657	MF598657.1	30123	GenBank		MF598657	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598658	MF598658.1	30123	GenBank		MF598658	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598659	MF598659.1	30123	GenBank		MF598659	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598660	MF598660.1	30123	GenBank		MF598660	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598661	MF598661.1	30123	GenBank		MF598661	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598662	MF598662.1	30123	GenBank		MF598662	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598663	MF598663.1	30123	GenBank		MF598663	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598664	MF598664.1	30123	GenBank		MF598664	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598665	MF598665.1	30123	GenBank		MF598665	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598666	MF598666.1	30123	GenBank		MF598666	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598667	MF598667.1	30123	GenBank		MF598667	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598668	MF598668.1	30123	GenBank		MF598668	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598669	MF598669.1	30123	GenBank		MF598669	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598670	MF598670.1	30123	GenBank		MF598670	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598671	MF598671.1	30123	GenBank		MF598671	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598672	MF598672.1	30123	GenBank		MF598672	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598673	MF598673.1	30123	GenBank		MF598673	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598674	MF598674.1	30123	GenBank		MF598674	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598675	MF598675.1	30123	GenBank		MF598675	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598676	MF598676.1	30123	GenBank		MF598676	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
MF598677	MF598677.1	30123	GenBank		MF598677	Asia		2015-03-XX	2017-11-15	2017-11-15	Camelus dromedarius	oronasopharynx		Yusof,M.F.,Queen,K.,Eltahir,Y.M.,Paden,C.R.,Al Hammadi,Z.M.A.H.,Tao,Y.,Li,Y.,Khalafalla,A.I.,Shi,M.,Zhang,J.,Mohamed,M.S.A.E.,Abd Elaal Ahmed,M.H.,Azeez,I.A.,Bensalah,O.K.,Eldahab,Z.S.,Al Hosani,F.I.,Gerber,S.I.,Hall,A.J.,Tong,S.,Al Muhairi,S.S.,Al Hammadi,Z.M.,Mohamed,M.S.,Ahmed,M.H.	Centers for Disease Control and Prevention, Division of Viral Diseases	USA	United Arab Emirates		Yusof et al
